period_index,time,elapsed_time,lambda_estimate,stretch_norm,theta,omega
1,633.5545184734111,5.235987755982989,-0.1136758830230994,0.5514492139474504,0.059439659263406795,0.005143303156727139
2,638.7905062293863,10.471975511965978,-0.1445711060157052,0.39902167100366287,0.05943965926336674,0.00514330315739169
3,644.0264939853615,15.707963267948966,-0.18038900161088736,0.26724251704208707,0.05943965926332669,0.00514330315805607
4,649.2624817413367,20.943951023931955,-0.21774023438592707,0.17785316343099442,0.05943965926328664,0.005143303158720495
5,654.4984694973119,26.179938779914945,-0.2498867793839802,0.137837505876419,0.05943965926324658,0.005143303159384945
6,659.7344572532871,31.41592653589793,-0.22669074305858503,0.5600780420753595,0.059439659263206525,0.005143303160049321
7,664.9704450092623,36.65191429188092,-0.21974474363355775,0.39362138658201645,0.05943965926316651,0.005143303160713758
8,670.2064327652375,41.88790204786391,-0.2240350963497803,0.26439934153106415,0.059439659263126436,0.005143303161378305
9,675.4424205212127,47.1238898038469,-0.2360863246727788,0.17535447595426065,0.05943965926308639,0.005143303162042639
10,680.6784082771879,52.35987755982989,-0.2498308147507108,0.14145057404629208,0.059439659263046375,0.00514330316270717
11,685.9143960331631,57.59586531581288,-0.23697337643309038,0.5668980477119746,0.05943965926300629,0.0051433031633715785
12,691.1503837891383,62.83185307179586,-0.23227878841997612,0.38836097138868186,0.059439659262966245,0.005143303164036066
13,696.3863715451135,68.06784082777885,-0.23411213694103394,0.26158370072043013,0.05943965926292619,0.0051433031647004504
14,701.6223593010887,73.30382858376184,-0.24133496115246722,0.17286074506655108,0.05943965926288612,0.005143303165364875
15,706.858347057064,78.53981633974483,-0.2497762517513846,0.1456419138212925,0.05943965926284612,0.005143303166029435
16,712.0943348130392,83.77580409572782,-0.24083518280780264,0.5719062751380976,0.059439659262806054,0.005143303166693668
17,717.3303225690144,89.01179185171081,-0.23744344470704,0.3832355819000315,0.059439659262766016,0.005143303167358191
18,722.5663103249896,94.2477796076938,-0.23859436730739222,0.2587940082146292,0.05943965926272595,0.005143303168022627
19,727.8022980809648,99.48376736367679,-0.24382623931350003,0.17037327335443117,0.0594396592626859,0.0051433031686871035
20,733.03828583694,104.71975511965978,-0.2497235406633064,0.150433348973266,0.05943965926264584,0.005143303169351594
21,738.2742735929152,109.95574287564277,-0.2428624148507275,0.5751472318279367,0.05943965926260581,0.005143303170015907
22,743.5102613488904,115.19173063162576,-0.2402632779155943,0.37824030840346534,0.05943965926256576,0.00514330317068035
23,748.7462491048656,120.42771838760875,-0.24113060333189684,0.25602873304001167,0.05943965926252575,0.005143303171344819
24,753.9822368608408,125.66370614359172,-0.24528349352106424,0.16789366288216676,0.05943965926248566,0.005143303172009284
25,759.218224616816,130.89969389957471,-0.24967306547694798,0.1558447446041232,0.05943965926244561,0.005143303172673692
26,764.4542123727912,136.1356816555577,-0.24411343586096823,0.5767068812534593,0.05943965926240557,0.0051433031733382414
27,769.6902001287664,141.3716694115407,-0.2420409542720151,0.37337022951587956,0.05943965926236556,0.005143303174006762
28,774.9261878847416,146.60765716752368,-0.24276336505472093,0.2532863972927065,0.05943965926232519,0.005143303174668123
29,780.1621756407168,151.84364492350667,-0.24624153677806718,0.16542385524865172,0.05943965926228541,0.005143303175333042
30,785.398163396692,157.07963267948966,-0.24962513560516597,0.1618942179773026,0.059439659262245245,0.0051433031759975725
31,790.6341511526672,162.31562043547265,-0.24496379247383476,0.5767044562768394,0.05943965926220522,0.005143303176661908
32,795.8701389086424,167.55160819145564,-0.24326497454130808,0.36862045503433083,0.05943965926216519,0.00514330317732633
33,801.1061266646176,172.78759594743863,-0.24390334323625462,0.2505655739931942,0.05943965926212514,0.005143303177990858
34,806.3421144205928,178.02358370342162,-0.24692057090965233,0.16296617711063066,0.059439659262085054,0.005143303178655231
35,811.578102176568,183.2595714594046,-0.24957998290502667,0.16859838900515994,0.05943965926204503,0.005143303179319736
36,816.8140899325432,188.4955592153876,-0.24558039335611445,0.5752831837308462,0.05943965926200496,0.00514330317998417
37,822.0500776885184,193.7315469713706,-0.24415978581518916,0.36398615922355115,0.05943965926196493,0.005143303180648505
38,827.2860654444936,198.96753472735358,-0.2447450765278214,0.247864885151218,0.05943965926192491,0.0051433031813130905
39,832.5220532004688,204.20352248333657,-0.2474278577696693,0.1605233918088373,0.059439659261884825,0.005143303181977469
40,837.758040956444,209.43951023931956,-0.24953776342797604,0.17597262399981697,0.05943965926184478,0.005143303182641907
41,842.9940287124192,214.67549799530255,-0.24604872781413162,0.5726009564027015,0.059439659261804716,0.0051433031833064205
42,848.2300164683944,219.91148575128554,-0.2448429563093627,0.35946260628803933,0.059439659261764685,0.005143303183970762
43,853.4660042243696,225.14747350726853,-0.24539262131333853,0.24518300004580434,0.05943965926172464,0.00514330318463538
44,858.7019919803448,230.38346126325152,-0.24782188697501553,0.15809875776517973,0.05943965926168458,0.005143303185299619
45,863.93797973632,235.6194490192345,-0.24949856291540354,0.1840312263912731,0.059439659261644545,0.0051433031859640385
46,869.1739674922952,240.8554367752175,-0.24641711569427344,0.5688217833399013,0.05943965926160449,0.005143303186628569
47,874.4099552482704,246.0914245312005,-0.24538202582274585,0.35504516947685427,0.05943965926156444,0.005143303187293
48,879.6459430042456,251.32741228718345,-0.24590667789910006,0.2425186337264951,0.05943965926152439,0.005143303187957427
49,884.8819307602208,256.56340004316644,-0.24813725689181235,0.15569609433206766,0.059439659261484354,0.005143303188621876
50,890.117918516196,261.79938779914943,-0.24946240488243573,0.1927875311072679,0.05943965926144431,0.005143303189286268
51,895.3539062721712,267.0353755551324,-0.24671492789197658,0.5641085691220562,0.05943965926140424,0.0051433031899507115
52,900.5898940281464,272.2713633111154,-0.24581855785542406,0.35072934501867753,0.0594396592613642,0.00514330319061519
53,905.8258817841216,277.5073510670984,-0.24632504150075865,0.23987054574353583,0.059439659261324176,0.005143303191279628
54,911.0618695400968,282.7433388230814,-0.24839573246876323,0.1533198557589725,0.05943965926128411,0.00514330319194411
55,916.297857296072,287.9793265790644,-0.2494292601528486,0.20225386356504527,0.05943965926124407,0.005143303192608513
56,921.5338450520472,293.21531433504737,-0.24696104584424175,0.5586174887389401,0.05943965926120402,0.005143303193272948
57,926.7698328080224,298.45130209103036,-0.24617953271770862,0.34651076187570173,0.05943965926116393,0.005143303193937438
58,932.0058205639976,303.68728984701335,-0.24667247513234586,0.2372375391166073,0.05943965926112391,0.005143303194601715
59,937.2418083199728,308.92327760299634,-0.24861168006126172,0.15097521388230084,0.059439659261083876,0.0051433031952662755
60,942.477796075948,314.1592653589793,-0.2493990568629904,0.2124413284001897,0.059439659261043824,0.0051433031959307205
61,947.7137838319233,319.3952531149623,-0.24716816059308241,0.5524939867897949,0.059439659261003794,0.005143303196595171
62,952.9497715878985,324.6312408709453,-0.24648322784500626,0.34238518813111257,0.05943965926096371,0.005143303197259525
63,958.1857593438737,329.8672286269283,-0.24696588111809462,0.23461845955385394,0.05943965926092368,0.005143303197923995
64,963.4217470998489,335.1032163829113,-0.24879495430597626,0.14866815002418943,0.05943965926088363,0.005143303198588453
65,968.6577348558241,340.3392041388943,-0.249371690177348,0.22335939635939914,0.05943965926084357,0.005143303199252895
66,973.8937226117993,345.57519189487726,-0.2473451177113387,0.5458702615794172,0.059439659260803517,0.005143303199917326
67,979.1297103677745,350.81117965086025,-0.2467424651363674,0.338348534680538,0.05943965926076348,0.005143303200581746
68,984.3656981237497,356.04716740684324,-0.24721719105320691,0.2320121949354366,0.059439659260723414,0.005143303201246266
69,989.6016858797249,361.28315516282623,-0.24895252947232513,0.14640555638035746,0.059439659260683377,0.00514330320191053
70,994.8376736357001,366.5191429188092,-0.24934703119793844,0.23501526006725096,0.05943965926064334,0.005143303202575051
71,1000.0736613916753,371.7551306747922,-0.2474982714007407,0.5388639982060441,0.05943965926060326,0.005143303203239637
72,1005.3096491476505,376.9911184307752,-0.2469665052357623,0.3343968567782372,0.059439659260563216,0.005143303203903968
73,1010.5456369036257,382.2271061867582,-0.24743506810751578,0.2294176750786239,0.059439659260523164,0.005143303204568439
74,1015.7816246596009,387.4630939427412,-0.24908946912359642,0.1441953468574311,0.05943965926048312,0.0051433032052327484
75,1021.0176124155761,392.69908169872417,-0.2493249347666977,0.2474129311271368,0.059439659260443097,0.0051433032058972586
76,1026.253600171566,397.93506945470716,-0.24763230406653955,0.5315780781568272,0.059439659260647294,0.005143303205172152
77,1031.4895879275753,403.17105721069015,-0.24716220378212264,0.3305263538897356,0.05943965926074464,0.005143303203230582
78,1036.7255756835846,408.40704496667314,-0.24762595459466952,0.22683387180468262,0.05943965926087322,0.005143303200903135
79,1041.9615634395939,413.64303272265613,-0.24920952726730244,0.14204657685160088,0.05943965926101432,0.005143303198670641
80,1047.1975511956032,418.8790204786391,-0.24930524603489426,0.2605520532907911,0.05943965926114767,0.005143303196424861
81,1052.4335389516125,424.1150082346221,-0.24775074233726752,0.5241009989107657,0.0594396592612835,0.00514330319417796
82,1057.6695267076218,429.3509959906051,-0.24733474464148195,0.3267333682207735,0.05943965926141883,0.005143303191932506
83,1062.905514463631,434.5869837465881,-0.24779474089921164,0.2242597993313358,0.05943965926155417,0.005143303189686566
84,1068.1415022196404,439.8229715025711,-0.2493155345943832,0.13996957080387407,0.05943965926168957,0.00514330318744062
85,1073.3774899756497,445.05895925855407,-0.2492878058007295,0.2744264108064217,0.059439659261824915,0.005143303185194708
86,1078.613477731659,450.29494701453706,-0.24785629307071497,0.5165077684490305,0.05943965926196033,0.005143303182948889
87,1083.8494654876683,455.53093477052005,-0.2474881203008324,0.3230143822245021,0.059439659262095663,0.005143303180703059
88,1089.0854532436776,460.76692252650304,-0.24794520635731407,0.2216945150188878,0.059439659262231034,0.0051433031784571944
89,1094.321440999687,466.002910282486,-0.24940965441154,0.13797605548356115,0.059439659262366405,0.005143303176211216
90,1099.5574287556963,471.238898038469,-0.24927245469918094,0.28902211958000923,0.059439659262501755,0.005143303173965482
91,1104.7934165117056,476.474885794452,-0.24795106858325539,0.5088610825233227,0.05943965926263716,0.0051433031717193975
92,1110.0294042677149,481.710873550435,-0.24762545561217592,0.31936601533391007,0.05943965926277252,0.005143303169473612
93,1115.2653920237242,486.946861306418,-0.24808031791446333,0.21913712050274492,0.059439659262907875,0.005143303167227774
94,1120.5013797797335,492.182849062401,-0.24949355691699676,0.13607929580428896,0.059439659263043274,0.005143303164981872
95,1125.7373675357428,497.41883681838397,-0.24925903637471952,0.3043155039366913,0.05943965926317858,0.005143303162735973
96,1130.9733552917521,502.6548245743669,-0.2480367414906864,0.5012126373890002,0.059439659263314015,0.005143303160490077
97,1136.2093430477614,507.8908123303499,-0.24774923140989633,0.3157850201192613,0.05943965926344936,0.005143303158244275
98,1141.4453308037707,513.1268000863329,-0.24820243735338213,0.21658676325023213,0.05943965926358472,0.005143303155998303
99,1146.68131855978,518.3627878423159,-0.24956854087069164,0.13429422854817566,0.05943965926372011,0.0051433031537524675
100,1151.9173063157893,523.5987755982989,-0.24924739978713212,0.3202706862797396,0.05943965926385548,0.005143303151506568
101,1157.1532940717987,528.8347633542819,-0.24811465355332427,0.4936044717357327,0.05943965926399084,0.005143303149260708
102,1162.389281827808,534.0707511102648,-0.2478614423586455,0.31226827803340557,0.059439659264126206,0.005143303147014906
103,1167.6252695838173,539.3067388662479,-0.2483134681598076,0.2140426385859573,0.05943965926426158,0.005143303144768982
104,1172.8612573398266,544.5427266222308,-0.24963562060194625,0.13263758767336417,0.05943965926439695,0.005143303142523045
105,1178.097245095836,549.7787143782139,-0.2492374008018913,0.336836953499928,0.05943965926453232,0.005143303140277236
106,1183.3332328518452,555.0147021341968,-0.24818589371318173,0.48607026599312864,0.05943965926466769,0.005143303138031382
107,1188.5692206078545,560.2506898901798,-0.2479637105451267,0.308812794876262,0.059439659264803026,0.005143303135785484
