DriveFrequency,NumericalAmplitude,AnalyticalAmplitude,AbsoluteDrift,RelativeDrift
2.4,0.01163619,0.011632280126902967,3.9098730970320295e-06,0.000336122673661317
2.423333,0.01191531,0.011912299158601963,3.01084139803752e-06,0.0002527506535850695
2.446667,0.01221281,0.012207244986793962,5.565013206037736e-06,0.00045587789972742227
2.47,0.01252222,0.01251810691975851,4.113080241490569e-06,0.00032857046739219855
2.493333,0.01284167,0.012845979867132892,4.309867132892484e-06,0.0003355031829000062
2.516667,0.01318548,0.013192029586244249,6.549586244249117e-06,0.0004964805605862634
2.54,0.01355141,0.013557442584322503,6.032584322503143e-06,0.00044496477008717535
2.563333,0.0139428,0.013943509551959202,7.095519592020816e-07,5.088761595909564e-05
2.586667,0.01435344,0.014351574974904517,1.8650250954831832e-06,0.00012995264274091224
2.61,0.01478208,0.014782964701696356,8.847016963568766e-07,5.9846026437129784e-05
2.633333,0.01523714,0.015239066478800564,1.926478800564485e-06,0.00012641711375460278
2.656667,0.01572041,0.015721246714933985,8.367149339841284e-07,5.322191993776887e-05
2.68,0.01624178,0.016230733212392767,1.1046787607233571e-05,0.0006806092776387292
2.703333,0.01678112,0.016768668844979646,1.2451155020354321e-05,0.0007425249514711515
2.726667,0.01734965,0.01733595922977948,1.3690770220519538e-05,0.0007897324883529787
2.75,0.01794008,0.017933065917348584,7.014082651416592e-06,0.0003911256827886366
2.773333,0.0185587,0.01855998327352413,1.2832735241281867e-06,6.91419547752923e-05
2.796667,0.01921037,0.019215953395606666,5.583395606665459e-06,0.0002905604261062575
2.82,0.01990228,0.019899101884740627,3.1781152593744755e-06,0.00015971149239713038
2.843333,0.02060751,0.020606271967212094,1.2380327879049635e-06,6.0080386683960765e-05
2.866667,0.02132314,0.02133255248881505,9.412488815047776e-06,0.0004412265630183202
2.89,0.02205582,0.02207074617218077,1.4926172180768082e-05,0.0006762876100483582
2.913333,0.02280614,0.022811117937932945,4.977937932946347e-06,0.0002182241986776308
2.936667,0.02355778,0.023540923518747415,1.6856481252585515e-05,0.0007160501260352605
2.96,0.02426865,0.02424409899802983,2.4551001970168213e-05,0.001012658873079314
2.983333,0.02491822,0.02490153039533589,1.6689604664110735e-05,0.0006702240544716374
3.006667,0.02549263,0.025491481220049524,1.1487799504751595e-06,4.506524907511544e-05
3.03,0.02599448,0.02599063368833901,3.846311660990476e-06,0.00014798837562456842
3.053333,0.02639229,0.02637596835140039,1.6321648599607746e-05,0.0006188075592963462
3.076667,0.02663242,0.02662689404255392,5.525957446080032e-06,0.00020753293407968244
3.1,0.02670615,0.02672765152925502,2.1501529255018442e-05,0.0008044675841228971
3.123333,0.02663252,0.026669502837079806,3.698283707980615e-05,0.001386708905138916
3.146667,0.0264285,0.02645199264890262,2.3492648902619095e-05,0.0008881239766862594
3.17,0.02608937,0.026083172067864653,6.197932135347528e-06,0.00023762187050031347
3.193333,0.02559983,0.02557849236544467,2.1337634555331636e-05,0.0008342021980997507
3.216667,0.0249661,0.024958813219715017,7.28678028498464e-06,0.00029195219423449177
3.24,0.02424316,0.02424805807751003,4.898077510029353e-06,0.00020199875364750543
3.263333,0.02347981,0.023470664298029548,9.145701970452585e-06,0.0003896652371795204
3.286667,0.02266347,0.02264970889287395,1.3761107126052108e-05,0.0006075622071408444
3.31,0.02182166,0.021805718502988958,1.5941497011041916e-05,0.0007310695590634531
3.333333,0.02094674,0.0209557811636575,9.041163657502044e-06,0.0004314400683464692
3.356667,0.02008658,0.020113490672932315,2.6910672932315555e-05,0.001337941452824523
3.38,0.01926987,0.019289251586740653,1.9381586740651463e-05,0.0010047868707344914
3.403333,0.01848551,0.01849045961889531,4.94961889531062e-06,0.0002676850114776286
3.426667,0.01772507,0.01772209537535555,2.9746246444500857e-06,0.0001678483599962235
3.45,0.01698578,0.016987302129629882,1.5221296298835452e-06,8.960396525994497e-05
3.473333,0.0162825,0.0162876290879564,5.1290879564021286e-06,0.0003149069719542387
3.496667,0.01562538,0.015623514320275141,1.865679724859931e-06,0.00011941485677385516
3.52,0.01500519,0.014994672331749684,1.0517668250316012e-05,0.0007014270147168155
3.543333,0.01440772,0.014400167776962838,7.552223037162603e-06,0.0005244538226314648
3.566667,0.0138398,0.013838695795224636,1.1042047753633683e-06,7.979110110538017e-05
3.59,0.01331066,0.01330878942569393,1.870574306070752e-06,0.00014055179973464934
3.613333,0.0128048,0.012808779903938302,3.979903938302123e-06,0.0003107168651620305
3.636667,0.01233076,0.012336950109142639,6.190109142639039e-06,0.0005017536010015706
3.66,0.01188975,0.011891642709436354,1.892709436355014e-06,0.0001591629922460667
3.683333,0.01147144,0.011471175445005834,2.6455499416502826e-07,2.306258808727458e-05
3.706667,0.01106792,0.011073930659900985,6.010659900985288e-06,0.000542775649006911
3.73,0.01069398,0.010698416566186057,4.436566186056395e-06,0.0004146937220671352
3.753333,0.01033962,0.01034317362275245,3.553622752448457e-06,0.0003435717974057167
3.776667,0.01001154,0.010006833291520382,4.7067084796171416e-06,0.00047034944447465967
3.8,0.009694574,0.009688157889887063,6.416110112936538e-06,0.000662263165594562
