parameter,sample_index,time,theta,theta_wrapped,omega,v
0.725,0,1517.3891758138138,-1.8164487761347794,-1.8164487761347794,1.722387675338664,1.722387675338664
0.725,1,1526.813953303326,-2.738599596150106,-2.738599596150106,1.1370985814815044,1.1370985814815044
0.725,2,1536.238730792838,-2.5562274380350836,-2.5562274380350836,1.2639031011737503,1.2639031011737503
0.725,3,1545.66350828235,-2.842439169426703,-2.842439169426703,1.0672526673806702,1.0672526673806702
0.725,4,1555.088285771862,-2.3265964924508085,-2.3265964924508085,1.4164855217076135,1.4164855217076135
0.725,5,1564.513063261374,-3.0064641090820063,-3.0064641090820063,0.9534103794021662,0.9534103794021662
0.725,6,1573.9378407508862,-1.8520674965461266,-1.8520674965461266,1.7029905775414638,1.7029905775414638
0.725,7,1583.3626182403982,-2.7833261607536373,-2.7833261607536373,1.1063767853921507,1.1063767853921507
0.725,8,1592.7873957299103,-2.4629238902026422,-2.4629238902026422,1.326670351687236,1.326670351687236
0.725,9,1602.2121732194223,-2.9331522436099444,-2.9331522436099444,1.0043291182837226,1.0043291182837226
0.725,10,1611.6369507089344,-2.080452156796064,-2.080452156796064,1.571044133340396,1.571044133340396
0.725,11,1621.0617281984464,-2.9788180347799975,-2.9788180347799975,0.9718987406236791,0.9718987406236791
0.725,12,1630.4865056879585,-1.9400327521624186,-1.9400327521624186,1.6536639489121387,1.6536639489121387
0.725,13,1639.9112831774705,-2.8774372775894816,-2.8774372775894816,1.0415987097632968,1.0415987097632968
0.725,14,1649.3360606669826,-2.234603400511428,-2.234603400511428,1.475531807224938,1.475531807224938
0.725,15,1658.7608381564946,-3.0192333707860914,-3.0192333707860914,0.9443990597781174,0.9443990597781174
0.725,16,1668.1856156460067,-1.8094861403506808,-1.8094861403506808,1.7261391424628738,1.7261391424628738
0.725,17,1677.6103931355187,-2.7294141269738468,-2.7294141269738468,1.143398999633714,1.143398999633714
0.725,18,1687.0351706250308,-2.5742010805607034,-2.5742010805607034,1.25171247035213,1.25171247035213
0.725,19,1696.4599481145428,-2.8209108826233935,-2.8209108826233935,1.0821698858082933,1.0821698858082933
0.725,20,1705.884725604055,-2.378985079185836,-2.378985079185836,1.3822704535077894,1.3822704535077894
0.725,21,1715.309503093567,-2.986227427383125,-2.986227427383125,0.9674857832621513,0.9674857832621513
0.725,22,1724.734280583079,-1.9176783022719444,-1.9176783022719444,1.666385530919706,1.666385530919706
0.725,23,1734.159058072591,-2.855738220122692,-2.855738220122692,1.056540831546221,1.056540831546221
0.7253333333333333,0,1517.3891758138138,-2.5178289734063997,-2.5178289734063997,1.289694624845111,1.289694624845111
0.7253333333333333,1,1526.813953303326,-2.874702577420026,-2.874702577420026,1.0447634058781081,1.0447634058781081
0.7253333333333333,2,1536.238730792838,-2.2339733182844412,-2.2339733182844412,1.4757505438445127,1.4757505438445127
0.7253333333333333,3,1545.66350828235,-3.011232637506307,-3.011232637506307,0.949828683267506,0.949828683267506
0.7253333333333333,4,1555.088285771862,-1.8268183085381393,-1.8268183085381393,1.7165498466706601,1.7165498466706601
0.7253333333333333,5,1564.513063261374,-2.7468314277397488,-2.7468314277397488,1.1313549637518523,1.1313549637518523
0.7253333333333333,6,1573.9378407508862,-2.52998386225807,-2.52998386225807,1.281499907993048,1.281499907993048
0.7253333333333333,7,1583.3626182403982,-2.8621600410130665,-2.8621600410130665,1.0534612081837884,1.0534612081837884
0.7253333333333333,8,1592.7873957299103,-2.2667773391945505,-2.2667773391945505,1.4548628852311023,1.4548628852311023
0.7253333333333333,9,1602.2121732194223,-3.0098296585204993,-3.0098296585204993,0.9508713696096477,0.9508713696096477
0.7253333333333333,10,1611.6369507089344,-1.8315622792553676,-1.8315622792553676,1.7139733677724234,1.7139733677724234
0.7253333333333333,11,1621.0617281984464,-2.752818912970581,-2.752818912970581,1.1272451985286447,1.1272451985286447
0.7253333333333333,12,1630.4865056879585,-2.517811532707513,-2.517811532707513,1.2897063723321904,1.2897063723321904
0.7253333333333333,13,1639.9112831774705,-2.874720149036339,-2.874720149036339,1.0447512191528325,1.0447512191528325
0.7253333333333333,14,1649.3360606669826,-2.233926813253179,-2.233926813253179,1.4757800231784146,1.4757800231784146
0.7253333333333333,15,1658.7608381564946,-3.011232112524952,-3.011232112524952,0.9498289368109772,0.9498289368109772
0.7253333333333333,16,1668.1856156460067,-1.8268198572375964,-1.8268198572375964,1.7165490065365796,1.7165490065365796
0.7253333333333333,17,1677.6103931355187,-2.7468333929953617,-2.7468333929953617,1.1313536149649441,1.1313536149649441
0.7253333333333333,18,1687.0351706250308,-2.529979895854671,-2.529979895854671,1.2815025844736514,1.2815025844736514
0.7253333333333333,19,1696.4599481145428,-2.862164231461649,-2.862164231461649,1.0534583025432107,1.0534583025432107
0.7253333333333333,20,1705.884725604055,-2.2667665110123365,-2.2667665110123365,1.4548698101689963,1.4548698101689963
0.7253333333333333,21,1715.309503093567,-3.0098307094732,-3.0098307094732,0.9508706203797725,0.9508706203797725
0.7253333333333333,22,1724.734280583079,-1.8315587835840645,-1.8315587835840645,1.7139752684598915,1.7139752684598915
0.7253333333333333,23,1734.159058072591,-2.7528145254501424,-2.7528145254501424,1.1272482104948687,1.1272482104948687
0.7256666666666667,0,1517.3891758138138,-2.2776557444306094,-2.2776557444306094,1.4477210258727424,1.4477210258727424
0.7256666666666667,1,1526.813953303326,-3.000349463817377,-3.000349463817377,0.9573477324115394,0.9573477324115394
0.7256666666666667,2,1536.238730792838,-1.8533208864545403,-1.8533208864545403,1.7018555197882328,1.7018555197882328
0.7256666666666667,3,1545.66350828235,-2.7739952507409793,-2.7739952507409793,1.112609480732055,1.112609480732055
0.7256666666666667,4,1555.088285771862,-2.4635837423367515,-2.4635837423367515,1.325918625043824,1.325918625043824
0.7256666666666667,5,1564.513063261374,-2.914495393333301,-2.914495393333301,1.0170394458071337,1.0170394458071337
0.7256666666666667,6,1573.9378407508862,-2.115063576423048,-2.115063576423048,1.5496217038864053,1.5496217038864053
0.7256666666666667,7,1583.3626182403982,-2.979819601250066,-2.979819601250066,0.9711244600701614,0.9711244600701614
0.7256666666666667,8,1592.7873957299103,-1.9182700562918027,-1.9182700562918027,1.6656192201877935,1.6656192201877935
0.7256666666666667,9,1602.2121732194223,-2.8444371834307325,-2.8444371834307325,1.0641608851801803,1.0641608851801803
0.7256666666666667,10,1611.6369507089344,-2.3001224327043026,-2.3001224327043026,1.433273448556206,1.433273448556206
0.7256666666666667,11,1621.0617281984464,-2.9963919423072687,-2.9963919423072687,0.9601273130066499,0.9601273130066499
0.7256666666666667,12,1630.4865056879585,-1.8661910156077985,-1.8661910156077985,1.6947620378887966,1.6947620378887966
0.7256666666666667,13,1639.9112831774705,-2.7889565730824994,-2.7889565730824994,1.1023274316419147,1.1023274316419147
0.7256666666666667,14,1649.3360606669826,-2.4308856603073843,-2.4308856603073843,1.347680285034138,1.347680285034138
