Time,Theta_Analytical,Theta,Omega,Theta_Errors,Omega_Errors,Energy
0.750000,-0.333761,-0.333761,-0.970990,0.000000,0.000000,1.028461
0.760000,-0.343299,-0.343299,-0.936445,0.000000,0.000000,1.028461
0.770000,-0.352486,-0.352486,-0.900867,0.000000,0.000000,1.028461
0.780000,-0.361313,-0.361313,-0.864291,0.000000,0.000000,1.028461
0.790000,-0.369769,-0.369769,-0.826750,0.000000,0.000000,1.028461
0.800000,-0.377845,-0.377845,-0.788283,0.000000,0.000000,1.028461
0.810000,-0.385532,-0.385532,-0.748926,0.000000,0.000000,1.028461
0.820000,-0.392821,-0.392821,-0.708720,0.000000,0.000000,1.028461
0.830000,-0.399703,-0.399703,-0.667706,0.000000,0.000000,1.028461
0.840000,-0.406172,-0.406172,-0.625928,0.000000,0.000000,1.028461
0.850000,-0.412219,-0.412219,-0.583429,0.000000,0.000000,1.028461
0.860000,-0.417838,-0.417838,-0.540256,0.000000,0.000000,1.028461
0.870000,-0.423022,-0.423022,-0.496455,0.000000,0.000000,1.028461
0.880000,-0.427766,-0.427766,-0.452077,0.000000,0.000000,1.028461
0.890000,-0.432062,-0.432062,-0.407170,0.000000,0.000000,1.028461
0.900000,-0.435907,-0.435907,-0.361785,0.000000,0.000000,1.028461
0.910000,-0.439297,-0.439297,-0.315974,0.000000,0.000000,1.028461
0.920000,-0.442226,-0.442226,-0.269791,0.000000,0.000000,1.028461
0.930000,-0.444691,-0.444691,-0.223289,0.000000,0.000000,1.028461
0.940000,-0.446691,-0.446691,-0.176522,0.000000,0.000000,1.028461
0.950000,-0.448221,-0.448221,-0.129546,0.000000,0.000000,1.028461
0.960000,-0.449281,-0.449281,-0.082416,0.000000,0.000000,1.028461
0.970000,-0.449869,-0.449869,-0.035188,0.000000,0.000000,1.028461
0.980000,-0.449985,-0.449985,0.012082,0.000000,0.000000,1.028461
0.990000,-0.449627,-0.449627,0.059337,0.000000,0.000000,1.028461
1.000000,-0.448798,-0.448798,0.106522,0.000000,0.000000,1.028461
